Name,Contact-info,Address,Category,area,latitude,longitude,url
Prince Wood Handicraft,+91 8790334747,"Opp. Government Hospital
            Address
            Plot No. 5, B-Block,
            Sri Ram Nagar,
            Kondapur,
            Hyderabad - 500081
            Telangana.
            
            Telephone: 9000290766",INTERIOR DESIGNERS,kondapur,,,/Services/kondapur.html
Vibrant Interiors,+91 9949885558,"RTA Office
            Address
            Flat No. 7, 3rd Floor,
            SK Building, Bikshapathi Nagar,
            Kondapur,
            Hyderabad - 500081
            Telangana.",INTERIOR DESIGNERS,kondapur,17.458429,78.366134,/Services/kondapur.html
Croma Electronics,+91 9676570077,"Beside Karur Vysya Bank
            Address
            Plot No. 5 & 6,
            Nagarjuna Ikon,
            Kondapur,
            Hyderabad - 500081
            Telangana.",HOME APPLIANCES,kondapur,17.458429,78.366134,/Services/kondapur.html
Adishwar Electro World,+91 40 42027961,"Opposite Botanic Garden
            Address
            GHMC No.2-91/68/TH/687,
            Kondapur,
            Hyderabad - 500081
            Telangana.",HOME APPLIANCES,kondapur,17.458429,78.366134,/Services/kondapur.html
Honesty Cooling Services,+91 9912305587,"Railway Station
            Address
            Shop No. 49,
            New Hafeezpet, Aditya Nagar,
            Kondapur,
            Hyderabad - 500081
            Telangana.
            
            Telephone: 9700721668",HOME APPLIANCES,kondapur,,,/Services/kondapur.html
Sri Dandagunda Electrical Services,+91 9700045835,"Gem Motor Service
            Address
            No. 2,
            Raghavendra Colony,
            Kondapur,
            Hyderabad - 500081
            Telangana.
            
            Telephone: 9394030384",HOME APPLIANCES,kondapur,,,/Services/kondapur.html
B S Electronics,+91 8523047555,"Bus Stand
            Address
            Shop No. 2-41/14A,
            Kondapur Cross Road,
            Kondapur,
            Hyderabad - 500081
            Telangana.",HOME APPLIANCES,kondapur,17.45825608,78.36929915,/Services/kondapur.html
Cyber Electrical & Electronics,+91 9885114215,"Tsp Camp
            Address
            No. 1-111/2/2/1,
            Kondapur,
            Hyderabad - 500081
            Telangana.
            
            Telephone: 8801074142",HOME APPLIANCES,kondapur,17.458429,78.366134,/Services/kondapur.html
Hi Tech Refrigeration & Air Condition,+91 9949518496,"Anand Nagar Bus Stand
            Address
            No. 142 Masjid,
            Complex Anand Nagar,
            Kondapur,
            Hyderabad - 500081
            Telangana.
            
            Telephone: 7386207459",HOME APPLIANCES,kondapur,,,/Services/kondapur.html
Deepak Electric Works,+91 9177909740,"Kondapur Rto Office
            Address
            No. 1/110A/9A,
            Gopal Reddy Nagar,
            Kondapur,
            Hyderabad - 500081
            Telangana.",HOME APPLIANCES,kondapur,17.473172,78.363583,/Services/kondapur.html
Studio 11,+91 7569696990,"Near Botanical gardens
            Address
            2nd Floor, Shivam Complex,
            Above Andhra Bank, Sairam Colony,
            Kondapur,
            Hyderabad - 500081
            Telangana",SPA & SALON,kondapur,,,/Services/kondapur.html
Tarash Family Salon & Spa,+91 7893782623,"Above Croma Showroom
            Address
            2nd Floor, Nagarjuna Ikon,
            Kondapur,
            Hyderabad - 500081
            Telangana.",SPA & SALON,kondapur,17.458429,78.366134,/Services/kondapur.html
Green Trends Unisex Hair & Style Salon,+91 7702888070,"H-No. 1-60/30/9/5/9 & 1-60/30/10,
            Miyapur Main Road,
            Kondapur,
            Hyderabad - 500081
            Telangana.
            
            Telephone: 9010155515",SPA & SALON,kondapur,,,/Services/kondapur.html
VLCC Health Care Limited,+91 40 23370708,"Opposite Jayabheri Silicon County
            Address
            Shop No. 291/14/9/2,
            Upper Ground Floor, Bhasker Empire,
            Kondapur,
            Hyderabad - 500081
            Telangana.",SPA & SALON,kondapur,,,/Services/kondapur.html
Rejoice Beauty Saloon,+91 8688277776,"Area Hospital
            Address
            Flat 8A,
            Chirag Public School Lane,
            Kondapur,
            Hyderabad - 500081
            Telangana.
            040 32572255",SPA & SALON,kondapur,17.458429,78.366134,/Services/kondapur.html
Lakme Saloon,+91 40 65526555,"Beside Google
            Address
            Flat No. 201, 1st Floor,
            SMR Vinay Techno polis,
            Kondapur,
            Hyderabad - 500081
            Telangana.",SPA & SALON,kondapur,17.458429,78.366134,/Services/kondapur.html
Naturals Hair & Beauty Salon,+91 9092626262,"Beside Google
            Address
            Flat-No. 202,
            SMR Vinay Technopolis,
            Kondapur,
            Hyderabad - 500081
            Telangana.",SPA & SALON,kondapur,17.458429,78.366134,/Services/kondapur.html
ABC Saloon,+91 8977994747,"Near Chirec Public School
            Address
            H.No. 1-57/27,
            Plot No. 27, KP Plaza,
            Kondapur,
            Hyderabad - 500081
            Telangana.",SPA & SALON,kondapur,17.458429,78.366134,/Services/kondapur.html
Saffron's Family Salon & Spa,+91 9966988713,"Above Rathadeep Super Market
            Address
            2nd Floor,
            Ektha Pearl, Kothaguda,
            Kondapur,
            Hyderabad - 500081
            Telangana.",SPA & SALON,kondapur,17.474231,78.363581,/Services/kondapur.html
The Chocolate Room,+91 7032737394,"Beside Heritage Fresh Supermarket
            Address
            Shop No. G1,
            Lake View Hitech,
            Kondapur,
            Hyderabad - 500081
            Telangana.",CAFE,kondapur,17.458429,78.366134,/Services/kondapur.html
Barista Espresso Bar,+91 9059980025,"Beside Subway
            Address
            Survey No. 13,
            S.M.R. Vinay Technopoll, Hi Tech City,
            Kondapur,
            Hyderabad - 500081
            Telangana.",CAFE,kondapur,17.458429,78.366134,/Services/kondapur.html
Dr. Abhilash Raavi,+91 9866587579,"Near Chirec Public School
            Address
            Heritage Fresh Road,
            Kondapur,
            Hyderabad - 500081
            Telangana",DENTAL CLINIC,kondapur,17.458429,78.366134,/Services/kondapur.html
Partha Dental,+91 40 64611077,"Opp. Leaf Hospitals
            Address
            H. No. 2-41/A/1, Plot No. 145/1, 1st Floor,
            Kondapur Main Road, Near by Toyota Showroom,
            Kondapur,
            Hyderabad - 500081
            Telangana.",DENTAL CLINIC,kondapur,,,/Services/kondapur.html
Dr. Challagulla Vijay Kumar,+91 9949232222,"Beside Botanical Gardens
            Address
            Flat No. 243, Block B,
            Kondapur Main Road, Sri Ramnagar,
            Kondapur,
            Hyderabad - 500081
            Telangana.
            
            Telephone: 8499941111",DENTAL CLINIC,kondapur,,,/Services/kondapur.html
Vijay Dental Hospital,+91 9640662000,"Above Ratnadeep Super Market
            Address
            2nd Floor,
            Kothaguda X Road,
            Kondapur,
            Hyderabad - 500081
            Telangana.
            40 40216155",DENTAL CLINIC,kondapur,,,/Services/kondapur.html
Universal Superspeciality Dental Hospital,+91 40 23004558,"Above Sujana Super Market
            Address
            H. No. 1-6-2/1, Tirumala Subhash Complex,
            2nd Floor, Kothaguda X Roads,
            Kondapur,
            Hyderabad - 500081
            Telangana.",DENTAL CLINIC,kondapur,,,/Services/kondapur.html
Satya Sree Clinic,+91 40 64644744,"Shop No. 1-55/PP/2, 1st Floor ,
            Sri Ram Nagar,
            Kondapur,
            Hyderabad - 500081
            Telangana.",DENTAL CLINIC,kondapur,17.46173801,78.35208301,/Services/kondapur.html
National Furniture & Plywood,+91 9885634522,"Gachibowli X Road,
            Kondapur,
            Hyderabad - 500081
            Telangana.
            
            Telephone: 7842197563",FURNITURE,kondapur,17.458429,78.366134,/Services/kondapur.html
Prince Wood Handicraft,+91 8790334747,"Opp. Government Hospital
            Address
            Plot No. 5, B-Block,
            Sri Ram Nagar,
            Kondapur,
            Hyderabad - 500081
            Telangana.
            
            Telephone: 9000290766",FURNITURE,kondapur,,,/Services/kondapur.html
Rize Up Gym,+91 9985644264,"Kothguda X Road,
            Kondapur,
            Kondapur,
            Hyderabad - 500081
            Telangana.",GYM,kondapur,17.458429,78.366134,/Services/kondapur.html
The Gymnasium Personal Fitness Studio,+91 9581369261,"Plot No:.117/A,
            Mashjid Band, Sri Ram Nagar,
            Kondapur,
            Hyderabad - 500081
            Telangana.",GYM,kondapur,17.458429,78.366134,/Services/kondapur.html
Fitness One Gym,+91 40 40184455,"Opp. Botanical Garden
            Address
            Plot No. 5, Park View Building ,
            2nd Floor, Above Heritage Fresh, Whitefields,
            Kondapur,
            Hyderabad - 500081
            Telangana.",GYM,kondapur,,,/Services/kondapur.html
The Chocolate Room,+91 7032737394,"Beside Heritage Fresh Supermarket
            Address
            Shop No. G1,
            Lake View Hitech,
            Kondapur,
            Hyderabad - 500081
            Telangana.",ICECREAM CENTER,kondapur,17.458429,78.366134,/Services/kondapur.html
Lords Ocean Cold Stone,+91 7207144455,"Shop No. 13,
            Beside Google Office,
            Kondapur,
            Hyderabad - 500081
            Telangana",ICECREAM CENTER,kondapur,17.408184,78.449607,/Services/kondapur.html
Scoops Ice Cream Parlour,+91 9390033008,"Opposite Eye Way Opticals
            Address
            Sriram Nagar,
            Kondapur,
            Hyderabad - 500081
            Telangana.",ICECREAM CENTER,kondapur,17.458429,78.366134,/Services/kondapur.html
Kakes N Krisps Bakery,+91 9849872668,"Opposite Appolo Clinic
            Address
            H No. 2-26,
            Kothaguda,
            Kondapur,
            Hyderabad - 500081
            Telangana.
            40 64571188
            40 64571199",ICECREAM CENTER,kondapur,,,/Services/kondapur.html
Baskin Robbins Bakery,+91 9177115520,"Next To Chirec Public School
            Address
            Plot No. 1-57/2, A Block,
            Sriram Nagar Colony,
            Kondapur,
            Hyderabad - 500081
            Telangana.",ICECREAM CENTER,kondapur,17.458429,78.366134,/Services/kondapur.html
Rishab Jewellers,+91 9885507221,"Near 8th Battalion
            Address
            D No. 2-41/4,
            Kothaguda,
            Kondapur,
            Hyderabad - 500081
            Telangana.",JEWELLERY SHOP,kondapur,17.474231,78.363581,/Services/kondapur.html
R.R Jewellers,+91 9550845141,"Near Chirec Public School
            Address
            Sri Ram Colony,
            Kondapur,
            Hyderabad - 500081
            Telangana.",JEWELLERY SHOP,kondapur,17.458429,78.366134,/Services/kondapur.html
Venkat Sai Medical Stores,+91 9440410631,"Harsha Toyota
            Address
            Door No. 2-41/15/A,
            Hafeezpet Road,
            Kondapur,
            Hyderabad - 500081
            Telangana.
            40 23000610",MEDICAL SHOP,kondapur,17.458429,78.366134,/Services/kondapur.html
Sangeeta Mobile Private Limited,+91 9951279666,"Opposite Honda Show Room
            Address
            Shop No. 2-4-1/11,
            Kothaguda,
            Kondapur,
            Hyderabad - 500081
            Telangana.",MOBILE SHOP,kondapur,17.474231,78.363581,/Services/kondapur.html
Mobile Hub,+91 9700686736,"Near Chirec School
            Address
            Shop No. 7/136,
            Anjayya Nagar,
            Kondapur,
            Hyderabad - 500081
            Telangana.",MOBILE SHOP,kondapur,17.458429,78.366134,/Services/kondapur.html
Value Mart Super Market,+91 040 65656033,"Botanical Garden
            Address
            Plot No. 37, 38 & 39,
            Sri Ram Nagar,
            Kondapur,
            Hyderabad - 500081
            Telangana.",GROCERY,kondapur,17.464045,78.35555396,/Services/kondapur.html
Sri Vinayaka Kirana & General Store,+91 9949506465,"Opposite Renault Showroom
            Address
            Kondapur X Raods,
            Kondapur,
            Hyderabad - 500081
            Telangana.
            
            Telephone: 8897899146",GROCERY,kondapur,17.458429,78.366134,/Services/kondapur.html
Safe Hands Laundry,+91 40 65810287,"Near Chirec School
            Address
            Plot No. 1-57/A/12,
            Sriram Nagar Colony,
            Kondapur,
            Hyderabad - 500081
            Telangana.",LAUNDRY,kondapur,17.458429,78.366134,/Services/kondapur.html
Eeshwar Illu,tel:40 40072222,"Near Forum Sujana Mall
Address
Plot No. 20/10,
KPHB 6th Phase,
Kukatpally,
Hyderabad - 500072
Telangana.
40 40073333",HOTEL,Kukatpally,17.5030765,78.4041699,/Services/kukatpally.html
Hotel One Place,tel:8008758899,"Beside KPHB Bus Stop
Address
D. No. 2-22-298/7/2,
Kukatpally,
Hyderabad - 500072
Telangana.
40 44558899",HOTEL,Kukatpally,17.5030765,78.4041699,/Services/kukatpally.html
Balaji Residency,tel:9246399912,"Near Forum Sujana Mall
Address
Hotel Ring View Building, 2nd Floor, Beside Rajiv Gandhi Circle,
KPHB 6th Phase,
Kukatpally,
Hyderabad - 500072
Telangana.
40 23156633
40 23156644",HOTEL,Kukatpally,17.5030765,78.4041699,/Services/kukatpally.html
Hotel Swagath Residency,tel:9246507575,"Beside RS Brothers
Address
MIG 1-228, KPHB Main Road,
Kukatpally,
Hyderabad - 500072
Telangana.

Telephone: 9246508585",HOTEL,Kukatpally,17.5030765,78.4041699,/Services/kukatpally.html
Balaji Residency,tel:9246399912,"Near Forum Sujana Mall
Address
Hotel Ring View Building, 2nd Floor, Beside Rajiv Gandhi Circle,
KPHB 6th Phase,
Kukatpally,
Hyderabad - 500072
Telangana.
40 23156633
40 23156644",BUDGET HOTEL,Kukatpally,17.5030765,78.4041699,/Services/kukatpally.html
Hotel Swagath Residency,tel:9246507575,"Beside RS Brothers
Address
MIG 1-228, KPHB Main Road,
Kukatpally,
Hyderabad - 500072
Telangana.

Telephone: 9246508585",BUDGET HOTEL,Kukatpally,17.5030765,78.4041699,/Services/kukatpally.html
Idea Clinics,tel:40 40042000,"Triveni Towers,
Road No. 1,
Kukatpally,
Hyderabad - 500072
Telangana.",HOSPITAL,Kukatpally,17.488021,78.399821,/Services/kukatpally.html
Sai Shourya Hospital,tel:9912532520,"Near Malaysian Township
Address
No. HIG 181,
Kukatpally,
Hyderabad - 500072
Telangana.",HOSPITAL,Kukatpally,17.480407,78.390194,/Services/kukatpally.html
Amrita Ent Head & Neck Hospital,tel:7032255931,"Above 9X Men Showroom
Address
2nd Floor,
Ganesh Plaza, 4th Phase, JNTU,
Kukatpally,
Hyderabad - 500072
Telangana.
040 40064008",HOSPITAL,Kukatpally,17.5030765,78.4041699,/Services/kukatpally.html
S.V. Medicals Surgicals,tel:7799194466,"Opposite Vignesh Nursing Home
Address
G-1, MIG-262,
Bhavani Enclave,
Kukatpally,
Hyderabad - 500072
Telangana.
40 40189797",HOSPITAL,Kukatpally,17.5030765,78.4041699,/Services/kukatpally.html
J S Raos Eye Clinic,tel:9346192626,"Beside Kalamandir
Address
Flat No. 203-204,
Padmavathi Plaza,
Kukatpally,
Hyderabad - 500072
Telangana.
40 23061086",HOSPITAL,Kukatpally,17.5030765,78.4041699,/Services/kukatpally.html
Icon Hospitals,tel:8885522197,"Near Malysian Ship
Address
S. No. 540/1 & 2,
JNTU - Hitech City Road,
Kukatpally,
Hyderabad - 500072
Telangana.
40 23159666",HOSPITAL,Kukatpally,17.5030765,78.4041699,/Services/kukatpally.html
Amrutha Hospital & Medical,tel:8297221155,"Remedy Hospital Lane
Address
M.I.G -410, Ground Floor,
Sai Divya Residency, Road No. 4,
Kukatpally,
Hyderabad - 500072
Telangana.",HOSPITAL,Kukatpally,17.5030765,78.4041699,/Services/kukatpally.html
Prasad Hospital,tel:40 64519124,"Address
MIG - 204,
1st Road, KPHB Phase I, KPHB Colony,
Kukatpally,
Hyderabad - 500072
Telangana.
40 64514074",HOSPITAL,Kukatpally,17.4775722,78.39495855,/Services/kukatpally.html
Safe Hospitals,tel:7842527999,"MIG-144, MIG No 1,
KPHB Colony, Road No. 1,
Kukatpally,
Hyderabad - 500072
Telangana.
040 23151257",HOSPITAL,Kukatpally,17.49143702,78.40168301,/Services/kukatpally.html
Prime Hospital,tel:40 44568888,"Address
Plot No. MIG 113 & 114,
Road No. 1, KPHB Colony,
Kukatpally,
Hyderabad - 500072
Telangana.",HOSPITAL,Kukatpally,17.48749989,78.37924789,/Services/kukatpally.html
The Birthplace,tel:7331143499,"Beside Boi Bank
Address
Plot No. 138, VI Phase,
Kukatpally,
Hyderabad - 500072
Telangana.
040 47997999
040 67139999",HOSPITAL,Kukatpally,17.5030765,78.4041699,/Services/kukatpally.html
Vignesh Nursing Home,tel:40 23055330,"Remedy Hospital Lane
Address
MIG-318 & 260,
Kukatpally,
Hyderabad - 500072
Telangana.
40 23058934",HOSPITAL,Kukatpally,17.5030765,78.4041699,/Services/kukatpally.html
Pearl Vision Eye Care,tel:9705926062,"Beside Huda Park
Address
H. No. 2-22-153/A, Shop No. 1,
Subhodaya Colony,
Kukatpally,
Hyderabad - 500072
Telangana.

Telephone: 9666552499",EYE & CHILD SPECIALIST HOSPITAL,Kukatpally,17.497838,78.4078457,/Services/kukatpally.html
Pearl Vision Eye Care,tel:9705926062,"Beside Huda Park
Address
H. No. 2-22-153/A, Shop No. 1,
Subhodaya Colony,
Kukatpally,
Hyderabad - 500072
Telangana.

Telephone: 9666552499",EYE & CHILD SPECIALIST HOSPITAL,Kukatpally,17.497838,78.4078457,/Services/kukatpally.html
Rainbow Children's Hospital,tel:40 42462300,"Beside Hydernagar Bus Stop
Address
Plot No. 1, Door No. 1-2-22,
Hydernagar,
Kukatpally,
Hyderabad - 500072
Telangana.",EYE & CHILD SPECIALIST HOSPITAL,Kukatpally,17.5030765,78.4041699,/Services/kukatpally.html
,,,EYE & CHILD SPECIALIST HOSPITAL,Kukatpally,18.77609574,100.773935,/Services/kukatpally.html
Aditya Dental Care,tel:9177433116,"Beside HDFC ATM
Address
Plot No. 561 & 562, Poojitha Land Mark,
Main Road, Pragathi Nagar,
Kukatpally,
Hyderabad - 500072
Telangana.

Telephone: 9652057471
40 64330659",DENTAL CLINIC,Kukatpally,17.51573135,78.39929865,/Services/kukatpally.html
Dentx Dental Care & Pediatric Center,tel:8886226007,"Opposite Andhra Bank
Address
Shop No. 2,
Surya Central Apartment, Beside Karur Vysya Bank, Pragathi Nagar,
Kukatpally,
Hyderabad - 500072
Telangana.
40 42226060",DENTAL CLINIC,Kukatpally,17.51573135,78.39929865,/Services/kukatpally.html
Wellness Dental Hospital,tel:9154010010,"Opp. JNTU, Below HDFC Bank
Address
Plot No. 1344, Maruthi Complex,
Pragathi Nagar,
Kukatpally,
Hyderabad - 500072
Telangana.",DENTAL CLINIC,Kukatpally,17.51573135,78.39929865,/Services/kukatpally.html
Ur Dentist,tel:8885526262,"Address
Shop No. A5, A/21, Kapil Complex,
6th Phase, KPHB Colony,
Kukatpally,
Hyderabad - 500072
Telangana.
40 64526262",DENTAL CLINIC,Kukatpally,17.4775722,78.39495855,/Services/kukatpally.html
Satya Dental Hospital,tel:40 40265657,"Near Mani Plaza
Address
No. 39, Gokul Plot, 9th Phase,
KPHB 6th Phase,
Kukatpally,
Hyderabad - 500072
Telangana.",DENTAL CLINIC,Kukatpally,17.5030765,78.4041699,/Services/kukatpally.html
Positive Dental,tel:9290901003,"Mro Office Lane
Address
203, HIG, MRO Lane, Dharmareddy Colony,
Raithu Bazar Road,
Kukatpally,
Hyderabad - 500072
Telangana.
40 23151103",DENTAL CLINIC,Kukatpally,17.5030765,78.4041699,/Services/kukatpally.html
Focus Dental Care,tel:040 65542525,"Above Axis Bank
Address
2nd Floor, 6th Phase,
MILLENNIUM SQUARE BUILDING,
Kukatpally,
Hyderabad - 500072
Telangana.",DENTAL CLINIC,Kukatpally,17.5030765,78.4041699,/Services/kukatpally.html
Dr. Gopinadh Anne,tel:9848022243,"Beside Ramalayam kaman
Address
D No. 1-100/1,
Ramalayam Road, Shanthi Nagar,
Kukatpally,
Hyderabad - 500072
Telangana.

Telephone: 9848122243",DENTAL CLINIC,Kukatpally,17.5030765,78.4041699,/Services/kukatpally.html
Dr. Sravanthi,tel:040 23157830,"Address
MIG Plot No. 276,
Road No. 4, KPHB Colony,
Kukatpally,
Hyderabad - 500072
Telangana.",DENTAL CLINIC,Kukatpally,17.4902071,78.3823579,/Services/kukatpally.html
Dr. Naga Neelima Devi,tel:9848022243,"Beside Ramalayam Kaman
Address
Shanthi Nagar,
Ramalayam Road,
Kukatpally,
Hyderabad - 500072
Telangana.
40 23064051",DENTAL CLINIC,Kukatpally,17.5030765,78.4041699,/Services/kukatpally.html
Sravanthi Dental Care,tel:8885588092,"Beside Mee Seva
Address
LIG Flat No. 20/7,
3rd Phase, KPHB Colony,
Kukatpally,
Hyderabad - 500072
Telangana.
40 64590211",DENTAL CLINIC,Kukatpally,17.4775722,78.39495855,/Services/kukatpally.html
Tru Dental Care,tel:040 23055650,"Near Mamatha Hospital
Address
M.I.G - 292, 4th Lane,
Remedy Hospital Road KPHB Colony,
Kukatpally,
Hyderabad - 500072
Telangana.",DENTAL CLINIC,Kukatpally,17.4775722,78.39495855,/Services/kukatpally.html
Home Needs Packers and Movers,tel:9912072041,"Near Vijetha Super Market
Address
Hig 611,
Kukatpally Jntu Road,
Kukatpally,
Hyderabad - 500072
Telangana.",HOME NEED,Kukatpally,17.5030765,78.4041699,/Services/kukatpally.html
Beyond Basics Furniture,tel:9030573005,"Near Pavan Bar
Address
H. No. 4-19,
Sumitra Nagar,
Kukatpally,
Hyderabad - 500072
Telangana.
40 23163005",FURNITURE,Kukatpally,17.5030765,78.4041699,/Services/kukatpally.html
Sofa World,tel:9603515660,"Address
Plot No. 4, Shilpa Paradise,
Kukatpally,
Hyderabad - 500072
Telangana.",FURNITURE,Kukatpally,17.5030765,78.4041699,/Services/kukatpally.html
Jugnu Furnitures,tel:40 23160515,"Yadaih Complex, Juan Road,
Vivekananda Nagar,
Kukatpally,
Hyderabad - 500072",FURNITURE,Kukatpally,17.495458,78.410227,/Services/kukatpally.html
The Cane Interiorer,tel:9347029883,"Shop No. 007, Down Town Mall,
Kukatpally,
Hyderabad - 500072
Telangana.

Telephone: 7396916342",FURNITURE,Kukatpally,17.5030765,78.4041699,/Services/kukatpally.html
Home Style Furniture,tel:40 23156359,"Plot No:1, Vasanth Nagar, Hyder Nagar,
Nizampet Rd,
Kukatpally,
Hyderabad - 500072
Telangana.",FURNITURE,Kukatpally,17.5030765,78.4041699,/Services/kukatpally.html
GNK Interior Infra Pvt. Ltd.,tel:9393664646,"Plot No. 20 MIG,
2nd Floor, Vamsee Plaza, Hyder Nagar,
Kukatpally,
Hyderabad - 500072
Telangana.",FURNITURE,Kukatpally,17.5030765,78.4041699,/Services/kukatpally.html
SS Furnitures,tel:8885555595,"Near Pragathi Nagar Lake
Address
G-4, Plot No. 30, 31, Mythri's Lake Front Apartments,
Pragathi Nagar,
Kukatpally,
Hyderabad - 500072
Telangana.
40 64647647",FURNITURE,Kukatpally,17.51573135,78.39929865,/Services/kukatpally.html
Classic Furniture,tel:9492032565,"Near Foot Over Bridge
Address
LIG-29/8,
4th Phase, K.P.H.B. Colony ,
Kukatpally,
Hyderabad - 500072
Telangana.

Telephone: 9848709274",FURNITURE,Kukatpally,17.4775722,78.39495855,/Services/kukatpally.html
Tirumal Furnitures,tel:9666977719,"Pragathi Nagar
Address
Plot No. 159/A,
Sai Srinivasa Tower, Addagutta Colony,
Kukatpally,
Hyderabad - 500072
Telangana.
40 69995789
40 65887789",FURNITURE,Kukatpally,17.5030765,78.4041699,/Services/kukatpally.html
Nesta Modular Kitchen,tel:7660097447,"Opposite Landmark Hospital
Address
Plot No. 964, Vasant Nagar,
Hyder Nagar, NH9,
Kukatpally,
Hyderabad - 500072
Telangana.",FURNITURE,Kukatpally,17.5030765,78.4041699,/Services/kukatpally.html
Sri Sai Elite Interiors,tel:8106246622,"Beside TVS Showroom
Address
Shop No. G1, G2,
Nizampet Road,
Kukatpally,
Hyderabad - 500072
Telangana.
40 40177008",FURNITURE,Kukatpally,17.50067689,78.38939648,/Services/kukatpally.html
