Name,Contact-info,Address,Category,area,latitude,longitude
Hotel Swagath Residency,tel:9246507575,"Beside RS Brothers
Address
MIG 1-228, KPHB Main Road,
Kukatpally,
Hyderabad - 500072
Telangana.

Telephone: 9246508585",HOTEL,Kukatpally,17.5030765,78.4041699
Balaji Residency,tel:9246399912,"Near Forum Sujana Mall
Address
Hotel Ring View Building, 2nd Floor, Beside Rajiv Gandhi Circle,
KPHB 6th Phase,
Kukatpally,
Hyderabad - 500072
Telangana.
40 23156633
40 23156644",BUDGET HOTEL,Kukatpally,17.5030765,78.4041699
Hotel Swagath Residency,tel:9246507575,"Beside RS Brothers
Address
MIG 1-228, KPHB Main Road,
Kukatpally,
Hyderabad - 500072
Telangana.

Telephone: 9246508585",BUDGET HOTEL,Kukatpally,17.5030765,78.4041699
Idea Clinics,tel:40 40042000,"Triveni Towers,
Road No. 1,
Kukatpally,
Hyderabad - 500072
Telangana.",HOSPITAL,Kukatpally,17.488021,78.399821
Sai Shourya Hospital,tel:9912532520,"Near Malaysian Township
Address
No. HIG 181,
Kukatpally,
Hyderabad - 500072
Telangana.",HOSPITAL,Kukatpally,17.480407,78.390194
Amrita Ent Head & Neck Hospital,tel:7032255931,"Above 9X Men Showroom
Address
2nd Floor,
Ganesh Plaza, 4th Phase, JNTU,
Kukatpally,
Hyderabad - 500072
Telangana.
040 40064008",HOSPITAL,Kukatpally,17.5030765,78.4041699
S.V. Medicals Surgicals,tel:7799194466,"Opposite Vignesh Nursing Home
Address
G-1, MIG-262,
Bhavani Enclave,
Kukatpally,
Hyderabad - 500072
Telangana.
40 40189797",HOSPITAL,Kukatpally,17.5030765,78.4041699
J S Raos Eye Clinic,tel:9346192626,"Beside Kalamandir
Address
Flat No. 203-204,
Padmavathi Plaza,
Kukatpally,
Hyderabad - 500072
Telangana.
40 23061086",HOSPITAL,Kukatpally,17.5030765,78.4041699
Icon Hospitals,tel:8885522197,"Near Malysian Ship
Address
S. No. 540/1 & 2,
JNTU - Hitech City Road,
Kukatpally,
Hyderabad - 500072
Telangana.
40 23159666",HOSPITAL,Kukatpally,17.5030765,78.4041699
Amrutha Hospital & Medical,tel:8297221155,"Remedy Hospital Lane
Address
M.I.G -410, Ground Floor,
Sai Divya Residency, Road No. 4,
Kukatpally,
Hyderabad - 500072
Telangana.",HOSPITAL,Kukatpally,17.5030765,78.4041699
Prasad Hospital,tel:40 64519124,"Address
MIG - 204,
1st Road, KPHB Phase I, KPHB Colony,
Kukatpally,
Hyderabad - 500072
Telangana.
40 64514074",HOSPITAL,Kukatpally,17.4775722,78.39495855
Safe Hospitals,tel:7842527999,"MIG-144, MIG No 1,
KPHB Colony, Road No. 1,
Kukatpally,
Hyderabad - 500072
Telangana.
040 23151257",HOSPITAL,Kukatpally,17.49143702,78.40168301
Prime Hospital,tel:40 44568888,"Address
Plot No. MIG 113 & 114,
Road No. 1, KPHB Colony,
Kukatpally,
Hyderabad - 500072
Telangana.",HOSPITAL,Kukatpally,17.48749989,78.37924789
The Birthplace,tel:7331143499,"Beside Boi Bank
Address
Plot No. 138, VI Phase,
Kukatpally,
Hyderabad - 500072
Telangana.
040 47997999
040 67139999",HOSPITAL,Kukatpally,17.5030765,78.4041699
Vignesh Nursing Home,tel:40 23055330,"Remedy Hospital Lane
Address
MIG-318 & 260,
Kukatpally,
Hyderabad - 500072
Telangana.
40 23058934",HOSPITAL,Kukatpally,17.5030765,78.4041699
Pearl Vision Eye Care,tel:9705926062,"Beside Huda Park
Address
H. No. 2-22-153/A, Shop No. 1,
Subhodaya Colony,
Kukatpally,
Hyderabad - 500072
Telangana.

Telephone: 9666552499",EYE & CHILD SPECIALIST HOSPITAL,Kukatpally,17.497838,78.4078457
Pearl Vision Eye Care,tel:9705926062,"Beside Huda Park
Address
H. No. 2-22-153/A, Shop No. 1,
Subhodaya Colony,
Kukatpally,
Hyderabad - 500072
Telangana.

Telephone: 9666552499",EYE & CHILD SPECIALIST HOSPITAL,Kukatpally,17.497838,78.4078457
Rainbow Children's Hospital,tel:40 42462300,"Beside Hydernagar Bus Stop
Address
Plot No. 1, Door No. 1-2-22,
Hydernagar,
Kukatpally,
Hyderabad - 500072
Telangana.",EYE & CHILD SPECIALIST HOSPITAL,Kukatpally,17.5030765,78.4041699
,,,EYE & CHILD SPECIALIST HOSPITAL,Kukatpally,18.77609574,100.773935
Aditya Dental Care,tel:9177433116,"Beside HDFC ATM
Address
Plot No. 561 & 562, Poojitha Land Mark,
Main Road, Pragathi Nagar,
Kukatpally,
Hyderabad - 500072
Telangana.

Telephone: 9652057471
40 64330659",DENTAL CLINIC,Kukatpally,17.51573135,78.39929865
Dentx Dental Care & Pediatric Center,tel:8886226007,"Opposite Andhra Bank
Address
Shop No. 2,
Surya Central Apartment, Beside Karur Vysya Bank, Pragathi Nagar,
Kukatpally,
Hyderabad - 500072
Telangana.
40 42226060",DENTAL CLINIC,Kukatpally,17.51573135,78.39929865
Wellness Dental Hospital,tel:9154010010,"Opp. JNTU, Below HDFC Bank
Address
Plot No. 1344, Maruthi Complex,
Pragathi Nagar,
Kukatpally,
Hyderabad - 500072
Telangana.",DENTAL CLINIC,Kukatpally,17.51573135,78.39929865
Ur Dentist,tel:8885526262,"Address
Shop No. A5, A/21, Kapil Complex,
6th Phase, KPHB Colony,
Kukatpally,
Hyderabad - 500072
Telangana.
40 64526262",DENTAL CLINIC,Kukatpally,17.4775722,78.39495855
Satya Dental Hospital,tel:40 40265657,"Near Mani Plaza
Address
No. 39, Gokul Plot, 9th Phase,
KPHB 6th Phase,
Kukatpally,
Hyderabad - 500072
Telangana.",DENTAL CLINIC,Kukatpally,17.5030765,78.4041699
Positive Dental,tel:9290901003,"Mro Office Lane
Address
203, HIG, MRO Lane, Dharmareddy Colony,
Raithu Bazar Road,
Kukatpally,
Hyderabad - 500072
Telangana.
40 23151103",DENTAL CLINIC,Kukatpally,17.5030765,78.4041699
Focus Dental Care,tel:040 65542525,"Above Axis Bank
Address
2nd Floor, 6th Phase,
MILLENNIUM SQUARE BUILDING,
Kukatpally,
Hyderabad - 500072
Telangana.",DENTAL CLINIC,Kukatpally,17.5030765,78.4041699
Dr. Gopinadh Anne,tel:9848022243,"Beside Ramalayam kaman
Address
D No. 1-100/1,
Ramalayam Road, Shanthi Nagar,
Kukatpally,
Hyderabad - 500072
Telangana.

Telephone: 9848122243",DENTAL CLINIC,Kukatpally,17.5030765,78.4041699
Dr. Sravanthi,tel:040 23157830,"Address
MIG Plot No. 276,
Road No. 4, KPHB Colony,
Kukatpally,
Hyderabad - 500072
Telangana.",DENTAL CLINIC,Kukatpally,17.4902071,78.3823579
Dr. Naga Neelima Devi,tel:9848022243,"Beside Ramalayam Kaman
Address
Shanthi Nagar,
Ramalayam Road,
Kukatpally,
Hyderabad - 500072
Telangana.
40 23064051",DENTAL CLINIC,Kukatpally,17.5030765,78.4041699
Sravanthi Dental Care,tel:8885588092,"Beside Mee Seva
Address
LIG Flat No. 20/7,
3rd Phase, KPHB Colony,
Kukatpally,
Hyderabad - 500072
Telangana.
40 64590211",DENTAL CLINIC,Kukatpally,17.4775722,78.39495855
Tru Dental Care,tel:040 23055650,"Near Mamatha Hospital
Address
M.I.G - 292, 4th Lane,
Remedy Hospital Road KPHB Colony,
Kukatpally,
Hyderabad - 500072
Telangana.",DENTAL CLINIC,Kukatpally,17.4775722,78.39495855
Home Needs Packers and Movers,tel:9912072041,"Near Vijetha Super Market
Address
Hig 611,
Kukatpally Jntu Road,
Kukatpally,
Hyderabad - 500072
Telangana.",HOME NEED,Kukatpally,17.5030765,78.4041699
Beyond Basics Furniture,tel:9030573005,"Near Pavan Bar
Address
H. No. 4-19,
Sumitra Nagar,
Kukatpally,
Hyderabad - 500072
Telangana.
40 23163005",FURNITURE,Kukatpally,17.5030765,78.4041699
Sofa World,tel:9603515660,"Address
Plot No. 4, Shilpa Paradise,
Kukatpally,
Hyderabad - 500072
Telangana.",FURNITURE,Kukatpally,17.5030765,78.4041699
Jugnu Furnitures,tel:40 23160515,"Yadaih Complex, Juan Road,
Vivekananda Nagar,
Kukatpally,
Hyderabad - 500072",FURNITURE,Kukatpally,17.495458,78.410227
The Cane Interiorer,tel:9347029883,"Shop No. 007, Down Town Mall,
Kukatpally,
Hyderabad - 500072
Telangana.

Telephone: 7396916342",FURNITURE,Kukatpally,17.5030765,78.4041699
Home Style Furniture,tel:40 23156359,"Plot No:1, Vasanth Nagar, Hyder Nagar,
Nizampet Rd,
Kukatpally,
Hyderabad - 500072
Telangana.",FURNITURE,Kukatpally,17.5030765,78.4041699
GNK Interior Infra Pvt. Ltd.,tel:9393664646,"Plot No. 20 MIG,
2nd Floor, Vamsee Plaza, Hyder Nagar,
Kukatpally,
Hyderabad - 500072
Telangana.",FURNITURE,Kukatpally,17.5030765,78.4041699
SS Furnitures,tel:8885555595,"Near Pragathi Nagar Lake
Address
G-4, Plot No. 30, 31, Mythri's Lake Front Apartments,
Pragathi Nagar,
Kukatpally,
Hyderabad - 500072
Telangana.
40 64647647",FURNITURE,Kukatpally,17.51573135,78.39929865
Classic Furniture,tel:9492032565,"Near Foot Over Bridge
Address
LIG-29/8,
4th Phase, K.P.H.B. Colony ,
Kukatpally,
Hyderabad - 500072
Telangana.

Telephone: 9848709274",FURNITURE,Kukatpally,17.4775722,78.39495855
Tirumal Furnitures,tel:9666977719,"Pragathi Nagar
Address
Plot No. 159/A,
Sai Srinivasa Tower, Addagutta Colony,
Kukatpally,
Hyderabad - 500072
Telangana.
40 69995789
40 65887789",FURNITURE,Kukatpally,17.5030765,78.4041699
Nesta Modular Kitchen,tel:7660097447,"Opposite Landmark Hospital
Address
Plot No. 964, Vasant Nagar,
Hyder Nagar, NH9,
Kukatpally,
Hyderabad - 500072
Telangana.",FURNITURE,Kukatpally,17.5030765,78.4041699
Sri Sai Elite Interiors,tel:8106246622,"Beside TVS Showroom
Address
Shop No. G1, G2,
Nizampet Road,
Kukatpally,
Hyderabad - 500072
Telangana.
40 40177008",FURNITURE,Kukatpally,17.50067689,78.38939648
Shah Home Appliances (P) LTD.,tel:9348025013,"KPHB Main Road
Address
Shop No. 22/240, Plot No. 5,
Bhagyanagar Colony,
Kukatpally,
Hyderabad - 500072
Telangana",HOME APPLINCES,Kukatpally,17.49514429,78.40121932
Hyper city,"Telephone: 9100169216
            40 48480097","Opp. JNTU
Address
Sy. No:1050,
Manjeera Trinity Mall,
Kukatpally,
Hyderabad - 500072
Telangana.",HOME APPLINCES,Kukatpally,17.5030765,78.4041699
Shiv Home World,tel:9949404440,"Road No. 1,
KPHB Colony,
Kukatpally,
Hyderabad - 500072
Telangana.
40 23156166",HOME APPLINCES,Kukatpally,17.48749989,78.37924789
Blue Star,tel:9246288289,"Behind Sumithra Nagar Bus Stop
Address
D-No. 4-19, 1st Floor,
Sumithra Nagar,
Kukatpally,
Hyderabad - 500072
Telangana.
40 64542434",HOME APPLINCES,Kukatpally,17.5030765,78.4041699
kola power Streetems,tel:90001 09955,"KPHB housing board,
Yallamma banda,
Kukatpally,
Hyderabad - 500072
Telangana.",HOME APPLINCES,Kukatpally,17.5030765,78.4041699
Keeline Appliance Pvt. Ltd,tel:40 2307 9356,"5-33/23, Plot No 11,
Kukatpally,
Hyderabad - 500072
Telangana.
40 23077293",HOME APPLINCES,Kukatpally,17.4955461,78.41367395
U R Enterprises,+91 8686667966,"Behind Metro Cash N Carry
            Address
D No. 5-5-33/36, Plot No. 8,
Vignanpuri Colony,
Kukatpally,
Hyderabad - 500072
Telangana.",INTERIOR DESIGNER,Kukatpally,17.5030765,78.4041699
Radhakrishna Interiors,+91 9666628439,"Ushamulapudi Hospital Backside
            Address
            Srinivas Nagar,
            Kukatpally,
            Hyderabad - 500072
            Telangana.",INTERIOR DESIGNER,Kukatpally,17.502226,78.39261
INS Interiors,+91 9052053333,"Opposite to water tank
            Address
            Hyder Nagar,
            Near to SBI bank,
            Kukatpally,
            Hyderabad - 500072
            Telangana.
            Telephone: 9703673333",INTERIOR DESIGNER,Kukatpally,,
Interior Designer Hyderabad,+91 098480 33794,"B -307 phase 1, ,
            Kukatpally,
            Hyderabad - 500072
            Telangana.",INTERIOR DESIGNER,Kukatpally,17.5030765,78.4041699
Aakanti Glass Interiors,+91 9391011616,"Address
            Plot No.17,18,19 & 20,
            Survey No.166, A.S.Raju Nagar, Main Road,
            Kukatpally,
            Hyderabad - 500072
            Telangana.",INTERIOR DESIGNER,Kukatpally,17.5030765,78.4041699
